institute_id,name,tlr,rpc,go,oi,perception,city,state,rank
IR-N-C-28507,Maulana Azad Institute of Dental Sciences,86.86,75.47,92.13,53.76,100.0,Delhi,Delhi,1
IR-N-C-7254,Manipal College of Dental Sciences,83.05,79.41,71.63,76.42,74.72,Udupi,Karnataka,2
IR-N-I-1110,Dr  D  Y  Patil Vidyapeeth,79.92,80.24,81.41,57.36,63.0,Pune,Maharashtra,3
IR-N-I-1441,Saveetha Institute of Medical and Technical Sciences,82.66,60.57,74.93,63.38,80.44,Chennai,Tamil Nadu,4
IR-N-C-19320,A  B  S  M  Institute of Dental Sciences,81.76,45.05,86.56,72.98,82.19,Mangaluru,Karnataka,5
IR-N-C-7240,Manipal College of Dental Sciences,78.72,55.2,73.87,72.41,65.62,Mangalore,Karnataka,6
IR-N-I-1486,Sri Ramachandra Institute of Higher Education And Research,78.27,55.21,71.42,59.28,60.2,Chennai,Tamil Nadu,7
IR-N-N-153,Nair Hospital Dental College,71.1,45.0,92.13,52.56,60.2,Mumbai,Maharashtra,8
IR-N-N-352,SRM Dental College,73.92,45.61,95.99,56.37,37.72,Chennai,Tamil Nadu,9
IR-N-C-35008,JSS Dental College and Hospital,76.08,40.98,80.87,70.69,57.2,Mysuru,Karnataka,10
IR-N-U-0724,M  S  Ramaiah University of Applied Sciences,78.67,44.21,88.53,63.18,19.29,Bangalore,Karnataka,11
IR-N-U-0363,Siksha  O  Anusandhan,79.84,37.0,97.12,63.62,19.29,Bhubaneswar,Odisha,12
IR-N-U-0436,Amrita School of Dentistry,69.43,41.74,90.41,73.89,26.38,Kochi,Kerala,13
IR-N-U-0295,Datta Meghe Institute of Medical Sciences,73.65,44.38,84.45,54.45,32.43,Wardha,Maharashtra,14
IR-N-C-30756,Postgraduate Institute of Dental Sciences,81.55,44.47,64.81,48.59,50.45,Rohtak,Haryana,15
IR-N-C-40193,Bapuji Dental College   Hospital,73.33,41.46,68.72,60.36,60.2,Davangere,Karnataka,16
IR-N-U-0356,Kalinga Institute of Industrial Technology,77.27,33.07,77.48,65.81,50.45,Bhubaneswar,Odisha,17
IR-N-C-29150,Christian Dental College,85.39,12.11,92.16,59.45,46.63,Ludhiana,Punjab,18
IR-N-U-0108,Jamia Millia Islamia,78.86,36.28,55.2,73.84,50.45,New Delhi,Delhi,19
IR-N-C-8528,Yenepoya Dental College,77.63,32.69,63.6,67.91,53.96,Mangaluru,Karnataka,20
IR-N-C-40192,College of Dental Sciences,73.69,36.7,74.06,60.48,32.43,Davangere,Karnataka,21
IR-N-C-29701,Government Dental College,74.23,24.35,91.54,55.54,26.38,Indore,Madhya Pradesh,22
IR-N-N-73,Army College of Dental Sciences,70.73,17.36,86.58,67.18,46.63,Secunderabd,Telangana,23
IR-N-C-24504,KLE Vishwanath Katti Institute of Dental Sciences,76.43,17.89,85.12,70.85,26.38,Belgaum,Karnataka,24
IR-N-U-0168,Maharishi Markandeshwar,65.62,26.42,80.63,66.37,46.63,Ambala,Haryana,25
IR-N-C-40531,Sri Dharmasthala Manjunatheswara College of Dharwad,75.98,10.38,84.85,57.14,57.2,Dharwad,Karnataka,26
IR-N-U-0461,M  G  R  Educational and Research Institute,67.82,32.71,93.44,51.67,0.0,Chennai,Tamil Nadu,27
IR-N-U-0078,Panjab University,71.58,24.15,72.61,66.19,32.43,Chandigarh,Chandigarh,28
IR-N-N-116,Pacific Dental College,69.84,23.7,92.17,63.83,0.0,Udaipur,Rajasthan,29
IR-N-N-71,Institute of Medical Sciences,64.76,20.21,72.47,62.87,63.0,Varanasi,Uttar Pradesh,30
