institute_id,name,tlr,rpc,go,oi,perception,city,state,rank
IR-L-U-0238,National Law School of India University,84.3,41.07,85.13,75.03,100.0,Bengaluru,Karnataka,1
IR-L-U-0111,National Law University,90.73,45.21,67.77,74.67,65.36,New Delhi,Delhi,2
IR-L-N-18,Nalsar University of Law,83.28,39.74,77.73,73.22,70.96,Hyderabad,Telangana,3
IR-L-U-0573,Indian Institute of Technology Kharagpur,81.0,73.78,69.16,67.68,39.07,Kharagpur,West Bengal,4
IR-L-U-0414,National Law University,74.48,26.85,78.05,65.16,44.35,Jodhpur,Rajasthan,5
IR-L-U-0585,The West Bengal National University of Juridicial Sciences,70.52,35.19,68.59,69.75,57.09,Kolkata,West Bengal,6
IR-L-U-0134,Gujarat National Law University,69.67,35.83,68.56,67.92,36.15,Gandhinagar,Gujarat,7
IR-L-C-19328,Symbiosis Law School,72.0,16.72,67.48,77.47,36.15,Pune,Maharashtra,8
IR-L-U-0108,Jamia Millia Islamia,59.24,35.0,72.2,76.31,33.01,New Delhi,Delhi,9
IR-L-U-0386,The Rajiv Gandhi National University of Law,62.14,29.23,59.13,72.22,29.62,Patiala,Punjab,10
IR-L-U-0511,Dr  Ram Manohar Lohiya National Law University,62.79,2.46,78.65,48.12,36.15,Lucknow,Uttar Pradesh,11
IR-L-U-0356,Kalinga Institute of Industrial Technology,76.11,27.06,39.66,71.84,12.36,Bhubaneswar,Odisha,12
IR-L-U-0496,Aligarh Muslim University,46.95,26.48,91.05,34.7,33.01,Aligarh,Uttar Pradesh,13
IR-L-U-0358,National Law University,63.82,22.69,49.13,60.51,46.76,Cuttack,Odisha,14
IR-L-U-0078,Panjab University,54.42,29.6,60.5,71.8,25.93,Chandigarh,Chandigarh,15
IR-L-U-0677,National Law University and Judicial Academy,70.55,22.57,37.44,67.42,21.88,Kamrup ,Assam,16
IR-L-U-0285,National Law Institute University  Bhopal,54.39,24.98,58.53,55.54,39.07,Bhopal,Madhya Pradesh,17
IR-L-U-0103,Indian Law Institute,52.36,15.06,57.02,59.29,60.6,New Delhi,Delhi,18
IR-L-U-0500,Banaras Hindu University,50.08,24.79,70.81,35.39,41.79,Varanasi,Uttar Pradesh,19
IR-L-U-0217,Christ University,50.51,18.36,54.32,65.82,49.04,Bengaluru,Karnataka,20
