institute_id,name,tlr,rpc,go,oi,perception,city,state,rank
IR-M-S-8890,Indian Institute of Management Ahmedabad,92.87,63.06,98.46,66.78,95.99,Ahmedabad,Gujarat,1
IR-M-S-8903,Indian Institute of Management Bangalore,91.46,57.43,98.48,69.45,100.0,Bengaluru,Karnataka,2
IR-M-S-8972,Indian Institute of Management Calcutta,90.68,56.79,97.18,71.85,95.26,Kolkata,West Bengal,3
IR-M-S-8959,Indian Institute of Management Lucknow,86.93,48.58,93.71,71.35,73.17,Lucknow,Uttar Pradesh,4
IR-M-U-0573,Indian Institute of Technology Kharagpur,63.67,72.34,89.66,68.45,48.63,Kharagpur,West Bengal,5
IR-M-S-8909,Indian Institute of Management Kozhikode,81.27,44.07,94.41,63.24,71.63,Kozhikode,Kerala,6
IR-M-S-8918,Indian Institute of Management Indore,83.18,43.42,93.74,67.49,55.67,Indore,Madhya Pradesh,7
IR-M-I-1074,Indian Institute of Technology Delhi,58.85,72.08,81.33,62.55,53.97,New Delhi,Delhi,8
IR-M-S-132,Xavier Labour Relations Institute  XLRI,87.81,31.6,98.15,64.0,52.64,Jamshedpur,Jharkhand,9
IR-M-I-1170,Management Development Institute,79.56,46.04,94.54,69.12,24.51,Gurugram,Haryana,10
IR-M-U-0306,Indian Institute of Technology Bombay,74.93,51.74,86.46,59.65,45.02,Mumbai,Maharashtra,11
IR-M-U-0560,Indian Institute of Technology Roorkee,56.75,75.17,76.86,59.0,20.34,Roorkee,Uttarakhand,12
IR-M-S-8931,National Institute of Industrial Engineering,77.51,43.86,92.77,66.83,12.3,Mumbai,Maharashtra,12
IR-M-U-0456,Indian Institute of Technology Madras,67.19,48.9,79.17,59.09,51.96,Chennai,Tamil Nadu,14
IR-M-S-8948,Indian Institute of Management Tiruchirappalli,77.93,23.77,89.15,65.37,59.08,Tiruchirappalli,Tamil Nadu,15
IR-M-I-1075,Indian Institute of Technology Kanpur,70.79,49.79,79.81,58.94,24.95,Kanpur,Uttar Pradesh,16
IR-M-S-8942,Indian Institute of Management Udaipur,82.11,30.12,84.23,69.23,21.3,Udaipur,Rajasthan,17
IR-M-I-1044,S  P  Jain Institute of Management and Research,73.32,21.8,97.99,71.12,16.78,Mumbai,Maharashtra,18
IR-M-S-8868,Indian Institute of Management Raipur,70.51,28.83,90.07,67.91,15.15,Raipur,Chhattisgarh,19
IR-M-S-8904,Indian Institute of Management Ranchi,70.4,18.91,92.07,68.82,38.92,Ranchi,Jharkhand,20
IR-M-S-8895,Indian Institute of Management Rohtak,63.8,32.83,88.68,71.99,19.85,Rohtak,Haryana,21
IR-M-C-19343,Symbiosis Institute of Business Management,79.78,14.76,94.56,66.62,18.85,Pune,Maharashtra,22
IR-M-N-16,Great Lakes Institute of Management,83.89,16.46,84.14,68.75,19.85,Chennai,Tamil Nadu,23
IR-M-N-10,SVKM s Narsee Monjee Institute of Management Studies,77.88,18.05,90.2,69.48,16.78,Mumbai,Maharashtra,24
IR-M-U-0012,ICFAI Foundation for Higher Education,70.7,34.08,72.38,76.2,16.78,Hyderabad,Telangana,25
IR-M-U-0102,Indian Institute of Foreign Trade,74.9,18.22,86.23,58.0,40.15,New Delhi,Delhi,26
IR-M-S-156,T  A  Pai Management Institute,71.19,23.44,85.65,69.71,23.62,Manipal,Karnataka,27
IR-M-I-1064,International Management Institute,70.75,27.85,85.77,66.38,12.88,New Delhi,Delhi,28
IR-M-U-0205,Indian Institute of Technology  Indian School of Mines,72.92,44.32,53.02,56.63,22.71,Dhanbad,Jharkhand,29
IR-M-S-8937,Indian Institute of Management Shillong,72.49,12.46,91.82,58.51,38.61,Shillong,Meghalaya,30
IR-M-N-354,Xavier Institute of Management  XIMB,67.49,18.62,91.76,52.95,30.66,Bhubaneswar,Odisha,31
IR-M-U-0356,Kalinga Institute of Industrial Technology,72.68,17.87,77.97,74.64,19.35,Bhubaneswar,Odisha,32
IR-M-S-8967,Indian Institute of Management Kashipur,67.09,24.88,84.06,60.48,16.24,Kashipur,Uttarakhand,33
IR-M-U-0108,Jamia Millia Islamia,65.78,27.65,75.45,73.76,9.23,New Delhi,Delhi,34
IR-M-U-0467,National Institute of Technology Tiruchirappalli,47.47,40.13,75.43,66.73,24.51,Tiruchirappalli,Tamil Nadu,35
IR-M-U-0500,Banaras Hindu University,65.41,20.94,77.96,59.88,20.34,Varanasi,Uttar Pradesh,36
IR-M-S-394,Institute of Management Technology,65.0,19.31,78.25,62.15,11.1,Ghaziabad,Uttar Pradesh,37
IR-M-U-0735,BML Munjal University,69.74,19.34,75.13,64.43,0.79,Gurgaon,Haryana,37
IR-M-U-0213,Alliance University,70.01,9.44,81.67,65.23,7.93,Bengaluru,Karnataka,39
IR-M-S-15962,Indian Institute of Management,66.35,3.15,86.44,63.33,29.1,Nagpur,Maharashtra,40
IR-M-U-0497,Amity University Noida,65.72,32.47,51.86,64.14,11.1,Gautam Budh Nagar,Uttar Pradesh,41
IR-M-U-0078,Panjab University,64.89,19.59,74.96,60.93,7.93,Chandigarh,Chandigarh,42
IR-M-I-1066,FORE School of Management,62.21,12.93,85.09,62.0,13.46,New Delhi,Delhi,43
IR-M-U-0146,Nirma University,74.6,9.04,72.37,63.32,8.59,Ahmedabad,Gujarat,44
IR-M-U-0496,Aligarh Muslim University,61.42,28.82,69.89,47.94,8.59,Aligarh,Uttar Pradesh,45
IR-M-C-37013,PSG College of Technology,61.69,17.06,74.98,51.94,28.71,Coimbatore,Tamil Nadu,46
IR-M-S-354,Birla Institute of Management Technology,65.03,9.69,81.75,70.85,7.93,Greater Noida,Uttar Pradesh,47
IR-M-S-87,Goa Institute of Management,66.07,12.54,74.21,68.63,13.46,Sanquelim,Goa,48
IR-M-U-0379,Lovely Professional University,71.79,21.32,57.99,70.53,0.0,Phagwara,Punjab,49
IR-M-S-331,Loyola Institute of Business Administration,63.56,6.59,85.92,56.1,26.66,Chennai,Tamil Nadu,50
IR-M-U-0747,Chandigarh University,71.79,5.85,73.89,81.64,1.56,Mohali,Punjab,51
IR-M-I-1408,International Management Institute,69.83,9.6,75.77,63.17,9.23,Kolkata,West Bengal,52
IR-M-I-1238,Institute for Financial Management and Research,63.66,7.36,84.69,73.93,5.22,"Sri City, Chittoor",Andhra Pradesh,53
IR-M-I-1480,Thapar Institute of Engineering   Technology,62.21,35.18,53.86,58.48,3.06,Patiala,Punjab,54
IR-M-U-0490,Vellore Institute of Technology,60.46,42.81,42.5,46.78,17.31,Vellore,Tamil Nadu,55
IR-M-S-220,K  J  Somaiya Institute of Management Studies   Research,68.65,4.55,84.19,60.3,6.6,Mumbai,Maharashtra,56
IR-M-U-0099,Guru Gobind Singh Indraprastha University,63.78,17.77,74.51,51.3,7.27,New Delhi,Delhi,57
IR-M-U-0202,Birla Institute of Technology,61.28,22.12,56.88,58.95,28.31,Ranchi,Jharkhand,58
IR-M-U-0439,Anna University,51.32,36.21,47.94,51.29,38.29,Chennai,Tamil Nadu,59
IR-M-I-1048,Institute of Management Technology,69.97,4.53,79.51,61.49,3.06,Nagpur,Maharashtra,60
IR-M-I-1132,Institute of Management Technology,66.22,6.65,72.17,70.31,10.48,Hyderabad,Telangana,61
IR-M-I-1058,Indian Institute of Forest Management,70.7,6.76,70.23,63.05,6.6,Bhopal,Madhya Pradesh,62
IR-M-I-1124,International Management Institute,68.25,8.24,69.69,62.18,9.23,Bhubaneswar,Odisha,63
IR-M-I-1156,Bharati Vidyapeeth s Institute of Management and Entrepreneurship Development,67.27,0.43,73.06,74.17,16.78,Pune,Maharashtra,63
IR-M-U-0851,IIHMR UNIVERSITY,64.74,8.19,73.14,72.25,2.32,Jaipur,Rajasthan,65
IR-M-U-0564,University of Petroleum and Energy Studies,70.42,17.99,53.68,62.32,2.32,Dehradun,Uttarakhand,66
IR-M-C-32855,Jagan Institute of Management Studies,64.57,4.71,79.07,67.76,0.79,Delhi,Delhi,67
IR-M-C-34129,Principal L N Welingkar Institute of Management Development and Research,68.54,4.45,77.35,56.63,3.79,Mumbai,Maharashtra,68
IR-M-S-3283,Jaipuria Institute of Management,63.55,6.81,77.91,63.85,3.06,Noida,Uttar Pradesh,69
IR-M-U-0020,Koneru Lakshmaiah Education Foundation University,74.06,6.77,58.93,68.82,3.79,Vaddeswaram,Andhra Pradesh,70
