institute_id,name,tlr,rpc,go,oi,perception,city,state,rank
IR-D-N-15,All India Institute of Medical Sciences,92.69,96.57,83.25,72.56,100.0,New Delhi,Delhi,1
IR-D-U-0079,Post Graduate Institute of Medical Education and Research,81.14,82.46,86.16,66.08,71.44,Chandigarh,Chandigarh,2
IR-D-C-45654,Christian Medical College,82.96,46.37,97.02,64.2,89.35,Vellore,Tamil Nadu,3
IR-D-U-0236,National Institute of Mental Health   Neuro Sciences,87.05,59.18,78.39,58.07,59.8,Bangalore,Karnataka,4
IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,83.18,58.05,90.81,51.24,45.59,Lucknow,Uttar Pradesh,5
IR-D-U-0500,Banaras Hindu University,72.09,52.73,89.09,57.44,37.07,Varanasi,Uttar Pradesh,6
IR-D-U-0436,Amrita Institute of Medical Sciences   Research,75.74,44.82,84.59,70.59,42.39,Kochi,Kerala,7
IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education   Research,75.64,38.35,71.93,69.55,76.32,Puducherry,Pondicherry,8
IR-D-C-7242,Kasturba Medical College,67.41,39.78,84.42,72.01,66.14,Manipal,Karnataka,9
IR-D-U-0523,King George s Medical University,74.03,44.22,90.23,43.53,43.21,Lucknow,Uttar Pradesh,10
IR-D-U-0106,Institute of Liver and Biliary Sciences,88.82,34.6,77.57,58.31,32.06,New Delhi,Delhi,11
IR-D-C-49008,Madras Medical College and Government General Hospital,72.68,17.49,98.06,55.61,66.14,Chennai,Tamil Nadu,12
IR-D-I-1486,Sri Ramachandra Institute of Higher Education And Research,72.29,27.29,83.3,66.91,46.73,Chennai,Tamil Nadu,13
IR-D-C-40453,St  John s Medical College,72.22,29.16,84.98,65.68,38.47,Bengaluru,Karnataka,14
IR-D-U-0496,Aligarh Muslim University,66.9,37.56,87.0,56.48,18.3,Aligarh,Uttar Pradesh,15
IR-D-C-32922,Vardhman Mahavir Medical College   Safdarjung Hospital,74.25,25.25,89.28,59.03,25.12,New Delhi,Delhi,16
IR-D-C-6414,Maulana Azad Medical College,69.43,26.43,80.4,55.08,49.62,Delhi,Delhi,17
IR-D-C-29209,Christian Medical College,74.87,20.34,85.79,65.89,26.97,Ludhiana,Punjab,18
IR-D-I-1409,University College of Medical Sciences,65.59,37.94,74.63,61.41,28.73,Delhi,Delhi,19
IR-D-C-35009,JSS Medical College,67.75,18.25,85.8,68.37,45.2,Mysore,Karnataka,20
IR-D-C-7251,Kasturba Medical College,66.91,21.12,82.32,69.77,39.81,Mangaluru,Karnataka,21
IR-D-U-0107,Jamia Hamdard,65.91,41.49,60.0,68.94,17.55,New Delhi,Delhi,22
IR-D-U-0363,Siksha  O  Anusandhan,71.83,18.65,83.4,63.2,25.75,Bhubaneswar,Odisha,23
IR-D-I-1110,Dr  D  Y  Patil Vidyapeeth,71.73,20.49,78.6,69.79,16.8,Pune,Maharashtra,24
IR-D-C-29442,Govt  Medical College   Hospital,69.66,19.06,84.0,58.92,26.97,Chandigarh,Chandigarh,25
IR-D-C-29255,Dayanand Medical College,77.05,15.27,87.32,53.0,12.77,Ludhiana,Punjab,26
IR-D-N-17,Sawai Man Singh Medical College,74.89,12.31,88.67,49.49,16.02,Jaipur,Rajasthan,27
IR-D-C-45515,PSG Institute of Medical Sciences   Research,72.58,8.0,79.75,62.86,40.25,Coimbatore,Tamil Nadu,27
IR-D-U-0295,Datta Meghe Institute of Medical Sciences,70.47,15.11,82.59,68.35,11.91,Wardha,Maharashtra,29
IR-D-C-40345,M  S  Ramaiah Medical College,75.28,10.16,74.57,60.71,34.14,Bengaluru,Karnataka,30
IR-D-U-0473,S  R  M  Institute of Science and Technology,68.9,28.13,61.8,59.9,16.02,Chennai,Tamil Nadu,31
IR-D-U-0356,Kalinga Institute of Industrial Technology,67.66,15.8,68.1,65.88,29.31,Bhubaneswar,Odisha,32
IR-D-U-0168,Maharishi Markandeshwar,68.99,16.49,69.8,61.98,23.19,Ambala,Haryana,33
IR-D-I-1441,Saveetha Institute of Medical and Technical Sciences,69.69,20.51,58.0,66.4,11.91,Chennai,Tamil Nadu,34
IR-D-U-0443,Annamalai University,59.48,23.66,73.12,46.6,22.53,Annamalainagar,Tamil Nadu,35
IR-D-C-19319,K  S  Hegde Medical Academy,69.62,7.71,67.45,69.19,26.97,Mangaluru,Karnataka,36
IR-D-C-23033,Krishna Institute of Medical Sciences,70.04,13.65,68.86,63.93,7.35,Karad,Maharashtra,37
IR-D-U-0036,Sri Venkateswara Institute of Medical Sciences,69.83,6.74,78.12,52.19,21.17,Tirupati,Andhra Pradesh,38
IR-D-C-9435,Regional Institute of Medical Sciences,66.34,7.88,76.22,59.17,25.12,Imphal West,Manipur,38
IR-D-C-47762,Mahatma Gandhi Medical College and Research Institute,67.64,10.5,67.26,74.49,12.77,Puducherry,Pondicherry,40
