institute_id,name,tlr,rpc,go,oi,perception,city,state,rank
IR-P-U-0107,Jamia Hamdard,78.18,85.18,80.85,57.65,95.7,New Delhi,Delhi,1
IR-P-U-0078,Panjab University,76.05,83.43,76.47,71.53,95.05,Chandigarh,Chandigarh,2
IR-P-U-0380,National Institute of Pharmaceutical Education and Research Mohali,79.78,61.99,79.53,62.88,100.0,Mohali,Punjab,3
IR-P-U-0308,Institute of Chemical Technology,79.12,65.11,86.13,53.79,86.32,Mumbai,Maharashtra,4
IR-P-I-1077,National Institute of Pharmaceutical Education and Research Hyderabad,81.75,57.7,87.19,65.18,80.23,Hyderabad,Telangana,5
IR-P-U-0391,Birla Institute of Technology   Science,88.39,60.82,74.71,67.95,64.47,Pilani,Rajasthan,6
IR-P-C-7249,Manipal College of Pharmaceutical Sciences,77.24,44.74,73.25,68.83,93.03,Udupi,Karnataka,7
IR-P-N-14,National Institute of Pharmaceutical Education and Research Ahmedabad,84.97,39.56,76.69,66.33,63.08,Gandhinagar,Gujarat,8
IR-P-C-35006,JSS College of Pharmacy,77.54,28.53,90.2,73.65,83.81,Ooty,Tamil Nadu,9
IR-P-C-35007,JSS College of Pharmacy,76.16,28.41,82.33,68.59,98.82,Mysore,Karnataka,10
IR-P-I-1073,National Institute of Pharmaceutical Education and Research Guwahati,84.16,30.8,70.57,66.68,51.78,Guwahati,Assam,11
IR-P-U-0443,Annamalai University,72.88,52.84,67.02,37.78,49.89,Annamalainagar,Tamil Nadu,12
IR-P-N-10,SVKM s Narsee Monjee Institute of Management Studies,77.13,34.25,81.91,60.45,20.0,Mumbai,Maharashtra,13
IR-P-U-0143,Maharaja Sayajirao University of Baroda,66.72,42.86,77.34,52.01,41.3,Vadodara,Gujarat,14
IR-P-U-0436,Amrita School of Pharmacy,58.11,53.78,66.3,63.83,36.24,Kochi,Kerala,15
IR-P-U-0202,Birla Institute of Technology,66.3,42.3,59.38,60.42,60.15,Ranchi,Jharkhand,16
IR-P-U-0146,Nirma University,62.01,41.58,69.74,52.36,47.9,Ahmedabad,Gujarat,17
IR-P-N-26,National Institute of Pharmaceutical Education and Research Raebareli,83.31,30.27,53.0,59.59,43.62,LUCKNOW,Uttar Pradesh,18
IR-P-U-0473,S  R  M  Institute of Science and Technology,59.2,57.11,51.76,50.28,45.82,Chennai,Tamil Nadu,19
